9gag.com,Entertainment,http://9gag.com/gag/a331r3N,Independent,Short,High,Low,Low,Fee Based,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,,e333vqv0jsindzouhjkxxnoq7xvkvspb
9gag.com,Entertainment,http://9gag.com/gag/a5PXNbG,Independent,Medium,High,Low,Low,Fee Based,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,,e333vqv0jsindzouhjkxxnoq7xvkvspb
9gag.com,Entertainment,http://9gag.com/gag/a6yEpR9?ref=fsidebar,Independent,Medium,High,Low,Low,Fee Based,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,,e333vqv0jsindzouhjkxxnoq7xvkvspb
9gag.com,Entertainment,http://9gag.com/gag/aD3DjnG,Independent,Medium,High,Low,Low,Fee Based,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,,e333vqv0jsindzouhjkxxnoq7xvkvspb
9gag.com,Entertainment,http://9gag.com/gag/aNZwn4A,Independent,Short,High,Low,Low,Fee Based,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,,e333vqv0jsindzouhjkxxnoq7xvkvspb
allrecipes.com,Food & Drink,http://allrecipes.com/Recipe/Aussie-Chicken/Detail.aspx?soid=recs_recipe_2,Independent,Medium,High,Low,High,Fee Based,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,e333vqv0jsindzouhjkxxnoq7xvkvspb
allrecipes.com,Food & Drink,http://allrecipes.com/Recipe/Butter-Roasted-Cauliflower/Detail.aspx?soid=recs_recipe_3,Independent,Medium,High,Low,Low,Fee Based,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,e333vqv0jsindzouhjkxxnoq7xvkvspb
allrecipes.com,Food & Drink,http://allrecipes.com/recipe/guinean-peanut-sauce-with-butternut-squash/detail.aspx,Independent,Long,High,Low,High,Fee Based,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,e333vqv0jsindzouhjkxxnoq7xvkvspb
allrecipes.com,Food & Drink,http://allrecipes.com/recipe/honey-mustard-chicken-with-roasted-vegetables/detail.aspx,Independent,Long,High,Low,Low,Fee Based,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,e333vqv0jsindzouhjkxxnoq7xvkvspb
allrecipes.com,Food & Drink,http://allrecipes.com/Recipe/Spinach-Lasagna-III/Detail.aspx?soid=recs_recipe_6,Independent,Medium,High,Low,High,Fee Based,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,e333vqv0jsindzouhjkxxnoq7xvkvspb
